Time,Node,State,Running jobs,Expected jobs
1.44493e+06,Syn_29,free,none,none
1.44493e+06,Syn_3,free,none,none
1.44493e+06,Syn_0,allocated,224,none
1.44493e+06,Syn_1,allocated,224,none
1.44493e+06,Syn_10,allocated,224,none
1.44493e+06,Syn_11,allocated,224,none
1.45184e+06,Syn_2,free,none,none
1.45184e+06,Syn_24,free,none,none
1.45184e+06,Syn_13,allocated,225,none
1.45184e+06,Syn_2,allocated,225,none
1.45184e+06,Syn_22,allocated,225,none
1.45184e+06,Syn_24,allocated,225,none
1.45184e+06,Syn_29,allocated,225,none
1.45184e+06,Syn_3,allocated,225,none
1.45184e+06,Syn_8,allocated,225,none
1.45184e+06,Syn_9,allocated,225,none
1.46097e+06,Syn_25,free,none,none
1.46097e+06,Syn_26,free,none,none
1.46097e+06,Syn_27,free,none,none
1.46097e+06,Syn_28,free,none,none
1.47283e+06,Syn_0,free,none,none
1.47283e+06,Syn_1,free,none,none
1.47283e+06,Syn_10,free,none,none
1.47283e+06,Syn_11,free,none,none
1.47283e+06,Syn_0,allocated,226,none
1.47283e+06,Syn_1,allocated,226,none
1.47283e+06,Syn_10,allocated,226,none
1.47283e+06,Syn_11,allocated,226,none
1.47283e+06,Syn_25,allocated,226,none
1.47283e+06,Syn_26,allocated,226,none
1.47283e+06,Syn_27,allocated,226,none
1.47283e+06,Syn_28,allocated,226,none
1.47811e+06,Syn_18,free,none,none
1.47811e+06,Syn_19,free,none,none
1.47811e+06,Syn_30,free,none,none
1.47811e+06,Syn_31,free,none,none
1.47811e+06,Syn_4,free,none,none
1.47811e+06,Syn_5,free,none,none
1.47811e+06,Syn_6,free,none,none
1.47811e+06,Syn_7,free,none,none
1.47811e+06,Syn_18,allocated,227,none
1.47811e+06,Syn_19,allocated,227,none
1.47811e+06,Syn_30,allocated,227,none
1.47811e+06,Syn_31,allocated,227,none
1.47814e+06,Syn_4,allocated,228,none
1.48042e+06,Syn_12,free,none,none
1.48042e+06,Syn_14,free,none,none
1.48042e+06,Syn_15,free,none,none
1.48042e+06,Syn_16,free,none,none
1.48042e+06,Syn_17,free,none,none
1.48042e+06,Syn_20,free,none,none
1.48042e+06,Syn_21,free,none,none
1.48042e+06,Syn_23,free,none,none
1.48042e+06,Syn_12,allocated,229,none
1.48042e+06,Syn_14,allocated,229,none
1.48042e+06,Syn_15,allocated,229,none
1.48042e+06,Syn_16,allocated,229,none
1.48042e+06,Syn_17,allocated,229,none
1.48042e+06,Syn_20,allocated,229,none
1.48042e+06,Syn_21,allocated,229,none
1.48042e+06,Syn_23,allocated,229,none
1.48044e+06,Syn_5,allocated,230,none
1.48044e+06,Syn_6,allocated,230,none
1.48411e+06,Syn_4,free,none,none
1.48822e+06,Syn_13,free,none,none
1.48822e+06,Syn_2,free,none,none
1.48822e+06,Syn_22,free,none,none
1.48822e+06,Syn_24,free,none,none
1.48822e+06,Syn_29,free,none,none
1.48822e+06,Syn_3,free,none,none
1.48822e+06,Syn_8,free,none,none
1.48822e+06,Syn_9,free,none,none
1.48822e+06,Syn_13,allocated,231,none
1.48822e+06,Syn_2,allocated,231,none
1.48822e+06,Syn_22,allocated,231,none
1.48822e+06,Syn_24,allocated,231,none
1.48822e+06,Syn_29,allocated,231,none
1.48822e+06,Syn_3,allocated,231,none
1.48822e+06,Syn_4,allocated,231,none
1.48822e+06,Syn_7,allocated,231,none
1.50001e+06,Syn_5,free,none,none
1.50001e+06,Syn_6,free,none,none
1.50409e+06,Syn_18,free,none,none
1.50409e+06,Syn_19,free,none,none
1.50409e+06,Syn_30,free,none,none
1.50409e+06,Syn_31,free,none,none
1.50409e+06,Syn_18,allocated,232,none
1.50409e+06,Syn_19,allocated,232,none
1.50409e+06,Syn_30,allocated,232,none
1.50409e+06,Syn_31,allocated,232,none
1.50409e+06,Syn_5,allocated,232,none
1.50409e+06,Syn_6,allocated,232,none
1.50409e+06,Syn_8,allocated,232,none
1.50409e+06,Syn_9,allocated,232,none
1.51031e+06,Syn_0,free,none,none
1.51031e+06,Syn_1,free,none,none
1.51031e+06,Syn_10,free,none,none
1.51031e+06,Syn_11,free,none,none
1.51031e+06,Syn_25,free,none,none
1.51031e+06,Syn_26,free,none,none
1.51031e+06,Syn_27,free,none,none
1.51031e+06,Syn_28,free,none,none
1.51031e+06,Syn_0,allocated,233,none
1.51031e+06,Syn_1,allocated,233,none
1.51591e+06,Syn_12,free,none,none
1.51591e+06,Syn_14,free,none,none
1.51591e+06,Syn_15,free,none,none
1.51591e+06,Syn_16,free,none,none
1.51591e+06,Syn_17,free,none,none
1.51591e+06,Syn_20,free,none,none
1.51591e+06,Syn_21,free,none,none
1.51591e+06,Syn_23,free,none,none
1.51591e+06,Syn_10,allocated,234,none
1.51591e+06,Syn_11,allocated,234,none
1.51591e+06,Syn_12,allocated,234,none
1.51591e+06,Syn_14,allocated,234,none
1.51591e+06,Syn_15,allocated,234,none
1.51591e+06,Syn_16,allocated,234,none
1.51591e+06,Syn_17,allocated,234,none
1.51591e+06,Syn_20,allocated,234,none
1.52419e+06,Syn_13,free,none,none
1.52419e+06,Syn_2,free,none,none
1.52419e+06,Syn_22,free,none,none
1.52419e+06,Syn_24,free,none,none
1.52419e+06,Syn_29,free,none,none
1.52419e+06,Syn_3,free,none,none
1.52419e+06,Syn_4,free,none,none
1.52419e+06,Syn_7,free,none,none
1.52419e+06,Syn_13,allocated,235,none
1.52419e+06,Syn_2,allocated,235,none
1.52419e+06,Syn_21,allocated,235,none
1.52419e+06,Syn_22,allocated,235,none
1.52419e+06,Syn_23,allocated,235,none
1.52419e+06,Syn_24,allocated,235,none
1.52419e+06,Syn_25,allocated,235,none
1.52419e+06,Syn_26,allocated,235,none
1.52424e+06,Syn_27,allocated,236,none
1.52639e+06,Syn_27,free,none,none
1.52802e+06,Syn_0,free,none,none
1.52802e+06,Syn_1,free,none,none
